Club_name,GF,GA,Opponent,,Club_name,GF,GA,Opponent,,,AFC Fylde,Hartlepool United FC
AFC Fylde,0,2,Aldershot Town,,Hartlepool United FC,1,2,Aldershot Town,,Average Performance,1.464285714,1.535714286
AFC Fylde,3,3,Altrincham,,Hartlepool United FC,2,2,Altrincham,,,,
AFC Fylde,1,2,Altrincham,,Hartlepool United FC,2,3,Barnet,,Mutuals,1,3
AFC Fylde,1,2,Barnet,,Hartlepool United FC,0,1,Boreham Wood,,,,
AFC Fylde,2,2,Boreham Wood,,Hartlepool United FC,1,4,Bromley,,Last month perform.,,
AFC Fylde,0,1,Bromley,,Hartlepool United FC,0,2,Chester,,,,
AFC Fylde,2,4,Chesterfield,,Hartlepool United FC,2,3,Chesterfield,,against bigs,,
AFC Fylde,1,3,Dag & Red,,Hartlepool United FC,0,1,Chesterfield,,,,
AFC Fylde,1,1,Dag & Red,,Hartlepool United FC,1,0,Dag & Red,,home/away,,
AFC Fylde,3,3,Dorking Wand.,,Hartlepool United FC,0,2,Dorking Wand.,,,,
AFC Fylde,1,2,Eastleigh,,Hartlepool United FC,3,1,Eastleigh,,,,
AFC Fylde,1,1,Ebbsfleet Utd,,Hartlepool United FC,2,2,Ebbsfleet Utd,,,,
AFC Fylde,2,2,FC Halifax Town,,Hartlepool United FC,1,2,FC Halifax Town,,,,
AFC Fylde,4,0,Gateshead,,Hartlepool United FC,3,1,Fylde,,,,
AFC Fylde,1,3,Hartlepool Utd,,Hartlepool United FC,2,1,Gateshead,,,,
AFC Fylde,2,1,Kidderminster,,Hartlepool United FC,1,1,Kidderminster,,,,
AFC Fylde,3,1,Leek Town,,Hartlepool United FC,3,1,Maidenhead Utd,,,,
AFC Fylde,2,2,Maidenhead Utd,,Hartlepool United FC,1,3,Oldham Athletic,,,,
AFC Fylde,3,0,Oldham Athletic,,Hartlepool United FC,0,2,Oldham Athletic,,,,
AFC Fylde,0,3,Oxford City,,Hartlepool United FC,2,5,Oxford City,,,,
AFC Fylde,0,2,Rochdale,,Hartlepool United FC,2,1,Oxford City,,,,
AFC Fylde,2,0,Rochdale,,Hartlepool United FC,2,3,Rochdale,,,,
AFC Fylde,1,2,Solihull Moors,,Hartlepool United FC,0,2,Solihull Moors,,,,
AFC Fylde,2,1,Southend United,,Hartlepool United FC,3,2,Southend United,,,,
AFC Fylde,1,2,Sutton United,,Hartlepool United FC,2,1,Wealdstone,,,,
AFC Fylde,2,3,Wealdstone,,Hartlepool United FC,4,4,Wealdstone,,,,
AFC Fylde,0,2,Woking,,Hartlepool United FC,0,2,Woking,,,,
AFC Fylde,0,2,York City,,Hartlepool United FC,3,1,York City,,,,
