Team_A,Team_A_Av(GD),Team_B,Team_B_Av(GD)
Adelaide United FC,-0.4347826086956521,Western United FC,-0.7727272727272727
Brisbane Roar FC,-0.5909090909090909,Perth Glory FC,-0.0909090909090909
Central Coast Mariners FC,0.1904761904761904,W Sydney,0.4285714285714285
Melbourne City FC,0.7272727272727273,Wellington Phoenix FC,0.4545454545454545
Perth Glory FC,-0.0909090909090909,Brisbane Roar FC,0.4285714285714285
Perth Glory FC,-0.0909090909090909,W Sydney,0.4285714285714285
Western Sydney Wanderers FC,0.4285714285714285,Perth Glory FC,0.0
Western Sydney Wanderers FC,0.4285714285714285,Central Coast Mariners FC,0.0
Western United FC,-0.7727272727272727,Adelaide United FC,-0.4347826086956521
Cercle Brugge KSV,0.15,KRC Genk,0.71875
Club Brugge KV,1.2954545454545454,DVL Zonhoven,-0.25
Club Brugge KV,1.2954545454545454,KVC Westerlo,-0.25
DVL Zonhoven,0.5833333333333334,Club Brugge KV,0.0
FCV Dender EH,0.625,R.F.C. Seraing,-0.4375
Francs Borains,-0.875,KV Oostende,0.0
KAA La Gantoise,0.0,Yellow-Red KV Mechelen,-2.25
KRC Genk,0.71875,Cercle Brugge KSV,0.15
KV Kortrijk,-1.6,Standard Liège,-0.5
KV Oostende,-0.3125,Francs Borains,-0.875
KVC Westerlo,-0.25,Club Brugge KV,1.2954545454545454
R.F.C. Seraing,-0.4375,FCV Dender EH,0.0
RFC Liège,-0.0625,RSC Anderlecht U23,0.125
RSC Anderlecht,1.1470588235294117,Standard Liège,1.4166666666666667
RSC Anderlecht U23,0.125,RFC Liège,1.4166666666666667
Standard Fémina de Liège,1.4166666666666667,RSC Anderlecht U23,0.0
Standard Liège,-0.5,KV Kortrijk,0.0
Yellow-Red KV Mechelen,-2.25,KAA La Gantoise,0.0
Accrington Stanley FC,0.1,Walsall FC,0.0
AFC Fylde,-0.3928571428571428,York City FC,-0.21875
AFC Wimbledon,0.6451612903225806,Crawley Town FC,0.0
Aldershot Town FC,0.064516129032258,Kidderminster Harriers FC,-0.5333333333333333
Altrincham FC,0.4074074074074074,Southend United FC,0.4814814814814814
Arsenal FC,0.8666666666666667,Crystal Palace FC,-1.0
Arsenal WFC,1.4166666666666667,Everton LFC,-1.0
Barnet FC,0.5625,Chesterfield FC,1.1333333333333333
Barnsley FC,0.7777777777777778,Stevenage FC,0.3636363636363636
Barrow AFC,0.4666666666666667,Crewe Alexandra FC,0.2903225806451613
Birmingham City FC,-0.3793103448275862,Stoke City FC,-0.1666666666666666
Blackburn Rovers FC,0.1290322580645161,Huddersfield Town AFC,-0.8571428571428571
Blackpool FC,0.3870967741935484,Bristol Rovers FC,0.2068965517241379
Bolton Wanderers FC,0.9655172413793104,Leyton Orient FC,-0.2413793103448276
Boreham Wood FC,-0.4137931034482758,Bromley FC,0.6333333333333333
Bradford City AFC,-0.1666666666666666,Doncaster Rovers FC,-0.46875
Brentford FC,-0.2608695652173913,Nott'ham Forest,-0.5454545454545454
Bristol City FC,0.1724137931034483,Watford FC,0.25
Bristol Rovers FC,0.2068965517241379,Blackpool FC,0.3870967741935484
Bromley FC,0.6333333333333333,Boreham Wood FC,-0.4137931034482758
Burton Albion FC,-0.6,Charlton Athletic FC,0.1034482758620689
Cambridge United FC,-0.3,Exeter City FC,0.0
Cardiff City FC,-0.1333333333333333,Plymouth Argyle FC,0.0
Carlisle United FC,-0.7142857142857143,Cheltenham Town FC,-0.7241379310344828
Charlton Athletic FC,0.1034482758620689,Burton Albion FC,-0.6
Cheltenham Town FC,-0.7241379310344828,Carlisle United FC,-0.7142857142857143
Chesterfield FC,1.1333333333333333,Barnet FC,0.5625
Coventry City FC,0.4642857142857143,Sheffield Weds,-0.5172413793103449
Crawley Town FC,-0.1034482758620689,AFC Wimbledon,0.6451612903225806
Crewe Alexandra FC,0.2903225806451613,Barrow AFC,0.4666666666666667
Crystal Palace FC,-0.3478260869565217,Arsenal WFC,0.8666666666666667
Dagenham & Redbridge FC,-0.1785714285714285,Solihull Moors FC,0.0
Derby County FC,0.6785714285714286,Lincoln City FC,0.0
Doncaster Rovers FC,-0.46875,Bradford City AFC,-0.1666666666666666
Dorking Wanderers FC,-0.6296296296296297,Gateshead FC,0.0
Eastleigh FC,0.1,Oldham Athletic AFC,0.1379310344827586
Ebbsfleet United FC,-0.6333333333333333,Hartlepool Utd,0.0
Everton LFC,-1.0,Arsenal WFC,1.4166666666666667
Exeter City FC,-0.6666666666666666,Cambridge Utd,-0.3
FC Halifax Town,0.0714285714285714,Maidenhead Utd,0.0
Fleetwood Town FC,-0.9642857142857144,Portsmouth FC,0.7
Forest Green Rovers FC,-0.6451612903225806,Gillingham FC,0.0
Gateshead FC,0.7037037037037037,Dorking Wand.,-0.6296296296296297
Gillingham FC,-0.2580645161290322,FG Rovers,-0.6451612903225806
Grimsby Town FC,-0.2580645161290322,Harrogate Town FC,-0.3333333333333333
Harrogate Town FC,-0.3333333333333333,Grimsby Town FC,-0.2580645161290322
Hartlepool United FC,-0.4285714285714285,Ebbsfleet Utd,0.0
Huddersfield Town AFC,-0.8571428571428571,Blackburn Rovers FC,0.1290322580645161
Kidderminster Harriers FC,-0.5333333333333333,Aldershot Town FC,0.064516129032258
Leyton Orient FC,-0.2413793103448276,Bolton Wanderers FC,0.9655172413793104
Lincoln City FC,0.0,Derby County FC,0.6785714285714286
Maidenhead United FC,-0.2,FC Halifax Town,0.0714285714285714
Mansfield Town FC,0.7741935483870968,Sutton United FC,-0.6875
Middlesbrough FC,0.21875,Rotherham Utd,-1.103448275862069
Millwall FC,-0.2857142857142857,QPR,-0.6428571428571429
Milton Keynes Dons FC,0.1785714285714285,Morecambe FC,0.0
Morecambe FC,-0.1034482758620689,MK Dons,0.1785714285714285
Newport County AFC,0.0,Wrexham FC,0.65625
Northampton Town FC,-0.2592592592592592,Oxford United FC,0.3
Norwich City FC,0.0333333333333333,West Bromwich Albion FC,0.5
Nottingham Forest FC,-0.5454545454545454,Brentford FC,0.0
Notts County FC,0.2,Stockport County FC,1.0
Oldham Athletic AFC,0.1379310344827586,Eastleigh FC,0.1
Oxford City FC,-0.5,Woking FC,-0.2666666666666666
Oxford United FC,0.3,Northampton Town FC,-0.2592592592592592
Peterborough United FC,0.65625,Shrewsbury Town FC,0.0
Plymouth Argyle FC,0.0,Cardiff City FC,-0.1333333333333333
Port Vale FC,-0.2285714285714285,Wycombe Wanderers FC,-0.1666666666666666
Portsmouth FC,0.7,Fleetwood Town FC,-0.9642857142857144
Queens Park Rangers FC,-0.6428571428571429,Millwall FC,0.0
Reading FC,-0.1,Wigan Athletic FC,0.2068965517241379
Rochdale AFC,0.2068965517241379,Wealdstone FC,-0.1111111111111111
Rotherham United FC,-1.103448275862069,Middlesbrough FC,0.0
Sheffield Wednesday FC,-0.5172413793103449,Coventry City FC,0.0
Shrewsbury Town FC,-0.6129032258064516,P'borough Utd,0.65625
Solihull Moors FC,0.1724137931034483,Dag & Red,-0.1785714285714285
Southampton FC,0.6071428571428571,Swansea City AFC,0.0
Southend United FC,0.4814814814814814,Altrincham FC,0.4074074074074074
