Team_A,Team_A_Av(GD),Team_A_C(GF),Team_B,Team_B_Av(GD),Team_B_C(GF),Team_A_Last,Team_B_Last,Result,Prediction
Brisbane Roar FC,-0.5909090909090909,80,Perth Glory FC,-0.0909090909090909,96,2.0,1.0,1,[1]
Central Coast Mariners FC,0.1904761904761904,0,W Sydney,0.4285714285714285,0,1.0,0.0,1,[1]
Melbourne City FC,0.7272727272727273,123,Wellington Phoenix FC,0.4545454545454545,104,1.0,0.0,1,[1]
Perth Glory FC,-0.0909090909090909,96,Brisbane Roar FC,0.4285714285714285,80,1.0,2.0,-1,[-1]
Perth Glory FC,-0.0909090909090909,0,W Sydney,0.4285714285714285,0,0.0,2.0,-1,[-1]
Western Sydney Wanderers FC,0.4285714285714285,68,Perth Glory FC,0.0,56,2.0,0.0,1,[1]
Western Sydney Wanderers FC,0.4285714285714285,68,Central Coast Mariners FC,0.0,60,3.0,0.0,1,[1]
Western United FC,-0.7727272727272727,70,Adelaide United FC,-0.4347826086956521,86,1.0,3.0,-1,[-1]
Club Brugge KV,1.2954545454545454,55,DVL Zonhoven,-0.25,40,4.0,2.0,1,[1]
DVL Zonhoven,0.5833333333333334,40,Club Brugge KV,0.0,55,2.0,4.0,-1,[-1]
FCV Dender EH,0.625,31,R.F.C. Seraing,-0.4375,19,3.0,1.0,1,[1]
Francs Borains,-0.875,18,KV Oostende,0.0,25,0.0,1.0,-1,[-1]
KRC Genk,0.71875,61,Cercle Brugge KSV,0.15,35,1.0,0.0,1,[1]
KV Kortrijk,-1.6,8,Standard Liège,-0.5,32,1.0,1.0,0,[0]
KV Oostende,-0.3125,25,Francs Borains,-0.875,18,1.0,0.0,1,[1]
KVC Westerlo,-0.25,50,Club Brugge KV,1.2954545454545454,92,0.0,1.0,-1,[-1]
R.F.C. Seraing,-0.4375,19,FCV Dender EH,0.0,31,1.0,3.0,-1,[-1]
RFC Liège,-0.0625,26,RSC Anderlecht U23,0.125,27,0.0,2.0,-1,[-1]
RSC Anderlecht,1.1470588235294117,63,Standard Liège,1.4166666666666667,20,1.0,2.0,-1,[-1]
RSC Anderlecht U23,0.125,27,RFC Liège,1.4166666666666667,26,2.0,0.0,1,[1]
Standard Fémina de Liège,1.4166666666666667,3,RSC Anderlecht U23,0.0,5,2.0,1.0,1,[1]
Standard Liège,-0.5,32,KV Kortrijk,0.0,8,1.0,1.0,0,[0]
Yellow-Red KV Mechelen,-2.25,16,KAA La Gantoise,0.0,45,2.0,6.0,-1,[-1]
Accrington Stanley FC,0.1,64,Walsall FC,0.0,56,2.0,1.0,1,[1]
AFC Wimbledon,0.6451612903225806,69,Crawley Town FC,0.0,60,2.0,1.0,1,[1]
Arsenal FC,0.8666666666666667,57,Crystal Palace FC,-1.0,37,1.0,0.0,1,[1]
Brentford FC,-0.2608695652173913,0,Nott'ham Forest,-0.5454545454545454,0,1.0,1.0,0,[0]
Bristol Rovers FC,0.2068965517241379,39,Blackpool FC,0.3870967741935484,48,1.0,3.0,-1,[-1]
