Team_A,Team_A_Av(GD),Team_A_C(GF),Team_B,Team_B_Av(GD),Team_B_C(GF),Team_A_Last,Team_B_Last
Brisbane Roar FC,-0.5909090909090909,80,Perth Glory FC,-0.09090909090909091,96,2,1
Central Coast Mariners FC,0.19047619047619047,0,W Sydney,0.42857142857142855,0,1,0
Melbourne City FC,0.7272727272727273,123,Wellington Phoenix FC,0.45454545454545453,104,1,0
Perth Glory FC,-0.09090909090909091,96,Brisbane Roar FC,0.42857142857142855,80,1,2
Perth Glory FC,-0.09090909090909091,0,W Sydney,0.42857142857142855,0,0,2
Western Sydney Wanderers FC,0.42857142857142855,68,Perth Glory FC,0,56,2,0
Western Sydney Wanderers FC,0.42857142857142855,68,Central Coast Mariners FC,0,60,3,0
Western United FC,-0.7727272727272727,70,Adelaide United FC,-0.43478260869565216,86,1,3
Club Brugge KV,1.2954545454545454,55,DVL Zonhoven,-0.25,40,4,2
DVL Zonhoven,0.5833333333333334,40,Club Brugge KV,0,55,2,4
FCV Dender EH,0.625,31,R.F.C. Seraing,-0.4375,19,3,1
Francs Borains,-0.875,18,KV Oostende,0,25,0,1
KRC Genk,0.71875,61,Cercle Brugge KSV,0.15,35,1,0
KV Kortrijk,-1.6,8,Standard Liège,-0.5,32,1,1
KV Oostende,-0.3125,25,Francs Borains,-0.875,18,1,0
KVC Westerlo,-0.25,50,Club Brugge KV,1.2954545454545454,92,0,1
R.F.C. Seraing,-0.4375,19,FCV Dender EH,0,31,1,3
RFC Liège,-0.0625,26,RSC Anderlecht U23,0.125,27,0,2
RSC Anderlecht,1.1470588235294117,63,Standard Liège,1.4166666666666667,20,1,2
RSC Anderlecht U23,0.125,27,RFC Liège,1.4166666666666667,26,2,0
Standard Fémina de Liège,1.4166666666666667,3,RSC Anderlecht U23,0,5,2,1
Standard Liège,-0.5,32,KV Kortrijk,0,8,1,1
Yellow-Red KV Mechelen,-2.25,16,KAA La Gantoise,0.0,45,2,6
Accrington Stanley FC,0.1,64,Walsall FC,0,56,2,1
AFC Wimbledon,0.6451612903225806,69,Crawley Town FC,0,60,2,1
Arsenal FC,0.8666666666666667,57,Crystal Palace FC,-1.0,37,1,0
Brentford FC,-0.2608695652173913,0,Nott'ham Forest,-0.5454545454545454,0,1,1
Bristol Rovers FC,0.20689655172413793,39,Blackpool FC,0.3870967741935484,48,1,3
Bromley FC,0.6333333333333333,70,Boreham Wood FC,-0.41379310344827586,40,1,1
Cambridge United FC,-0.3,42,Exeter City FC,0,26,2,0
Charlton Athletic FC,0.10344827586206896,45,Burton Albion FC,-0.6,48,1,1
Cheltenham Town FC,-0.7241379310344828,30,Carlisle United FC,-0.7142857142857143,33,1,0
Chesterfield FC,1.1333333333333333,59,Barnet FC,0.5625,56,4,2
Coventry City FC,0.4642857142857143,0,Sheffield Weds,-0.5172413793103449,0,2,0
Crawley Town FC,-0.10344827586206896,60,AFC Wimbledon,0.6451612903225806,69,1,2
Crewe Alexandra FC,0.2903225806451613,48,Barrow AFC,0.4666666666666667,46,1,3
Crystal Palace FC,-0.34782608695652173,11,Arsenal WFC,0.8666666666666667,27,0,1
Dagenham & Redbridge FC,-0.17857142857142858,42,Solihull Moors FC,0,54,1,2
Doncaster Rovers FC,-0.46875,58,Bradford City AFC,-0.16666666666666666,63,1,3
Dorking Wanderers FC,-0.6296296296296297,33,Gateshead FC,0,60,0,6
Ebbsfleet United FC,-0.6333333333333333,0,Hartlepool Utd,0,0,2,2
Everton LFC,-1.0,7,Arsenal WFC,1.4166666666666667,30,,
Exeter City FC,-0.6666666666666666,0,Cambridge Utd,-0.3,0,0,2
FC Halifax Town,0.07142857142857142,0,Maidenhead Utd,0,0,0,1
