Country,Club_name,Date,GF,GA,Opponent
Albania Football Clubs,FK Egnatia,2024-07-10,0,1,ba Borac Banja Luka
Albania Football Clubs,FK Egnatia,2024-07-17,2 (1),1 (4),ba Borac Banja Luka
Albania Football Clubs,FK Partizani Tirana,2024-07-11,1,1,mt Marsaxlokk FC
Albania Football Clubs,FK Partizani Tirana,2024-07-18,2,1,mt Marsaxlokk FC
Albania Football Clubs,KF Tirana,2024-07-11,1,1,ge Torpedo Kutaisi
Albania Football Clubs,KF Tirana,2024-07-18,0,1,ge Torpedo Kutaisi
Albania Football Clubs,KF Vllaznia Shkodër,2023-09-06,4,2,xk KFF EP-Com Hajvalia
Albania Football Clubs,KF Vllaznia Shkodër,2023-09-09,1,2,is KF Valur
Albania Football Clubs,KF Vllaznia Shkodër,2024-07-11,2,2,is Valur
Albania Football Clubs,KF Vllaznia Shkodër,2024-07-18,0,4,is Valur
Andorra Football Clubs,Atlètic Club d'Escaldes,2024-07-11,0,1,lu F91 Dudelange
Andorra Football Clubs,Atlètic Club d'Escaldes,2024-07-18,0,2,lu F91 Dudelange
Andorra Football Clubs,FC Santa Coloma,2023-07-13,1,1,wls Penybont FC
Andorra Football Clubs,FC Santa Coloma,2023-07-20,2,0,wls Penybont FC
Andorra Football Clubs,FC Santa Coloma,2023-07-27,0,2,me Sutjeska Nikšić
Andorra Football Clubs,FC Santa Coloma,2023-08-03,3,0,me Sutjeska Nikšić
Andorra Football Clubs,FC Santa Coloma,2023-08-10,0,1,nl AZ Alkmaar
Andorra Football Clubs,FC Santa Coloma,2023-08-17,0,2,nl AZ Alkmaar
Andorra Football Clubs,Inter Club d'Escaldes,2024-07-10,1,1,ba FK Velež Mostar
Andorra Football Clubs,Inter Club d'Escaldes,2024-07-18,5,1,ba FK Velež Mostar
Andorra Football Clubs,UE Santa Coloma,2024-07-09,1,2,xk KF Ballkani Therandë
Andorra Football Clubs,UE Santa Coloma,2024-07-16,2 (6),1 (5),xk KF Ballkani Therandë
Andorra Football Clubs,UE Santa Coloma,2024-07-23,,,dk Midtjylland
Andorra Football Clubs,UE Santa Coloma,2024-07-31,,,dk Midtjylland
Argentina Football Clubs,AA Argentinos Juniors,2024-01-28,1,1,River Plate
Argentina Football Clubs,AA Argentinos Juniors,2024-01-31,2,0,Deportivo Riestra
Argentina Football Clubs,AA Argentinos Juniors,2024-02-06,0,0,Atlé Tucumán
Argentina Football Clubs,AA Argentinos Juniors,2024-02-10,4,2,Banfield
Argentina Football Clubs,AA Argentinos Juniors,2024-02-15,1,2,Talleres
